ds,y
2022-08-02,18.223835
2022-08-03,18.217805
2022-08-04,18.390746
2022-08-05,18.235463
2022-08-06,18.235463
2022-08-07,18.234401
2022-08-08,18.296748
2022-08-09,18.301511
2022-08-10,18.409911
2022-08-11,18.519888
2022-08-12,18.408954
2022-08-13,18.408954
2022-08-14,18.402246
2022-08-15,18.248132
2022-08-16,18.236749
2022-08-17,18.269631
2022-08-18,18.243618
2022-08-19,18.162752
2022-08-20,18.162752
2022-08-21,18.155895
2022-08-22,17.985825
2022-08-23,18.062299
2022-08-24,18.094158
2022-08-25,18.117988
2022-08-26,18.10045
2022-08-27,18.10045
2022-08-28,18.070239
2022-08-29,18.207804
2022-08-30,18.221586
2022-08-31,18.264612
2022-09-01,18.124647
2022-09-02,18.12377
2022-09-03,18.12377
2022-09-04,18.054163
2022-09-05,18.128233
2022-09-06,18.042807
2022-09-07,18.217726
2022-09-08,18.262882
2022-09-09,18.513168
2022-09-10,18.512494
2022-09-11,18.355901
2022-09-12,18.462998
2022-09-13,18.215885
2022-09-14,18.214065
2022-09-15,18.254413
2022-09-16,18.28347
2022-09-17,18.288677
2022-09-18,18.311382
2022-09-19,18.33869
2022-09-20,18.265428
2022-09-21,18.02466
2022-09-22,18.049716
2022-09-23,17.844148
2022-09-24,17.844148
2022-09-25,17.863196
2022-09-26,17.757515
2022-09-27,17.702274
2022-09-28,17.986983
2022-09-29,18.186512
2022-09-30,18.140846
2022-10-01,18.140846
2022-10-02,18.136614
2022-10-03,18.216915
2022-10-04,18.544935
2022-10-05,18.408631
2022-10-06,18.18772
2022-10-07,18.099209
2022-10-08,18.099209
2022-10-09,18.089957
2022-10-10,18.045629
2022-10-11,18.03113
2022-10-12,18.011207
2022-10-13,18.092904
2022-10-14,18.060281
2022-10-15,18.060281
2022-10-16,18.106733
2022-10-17,18.285522
2022-10-18,18.329197
2022-10-19,18.163184
2022-10-20,18.179039
2022-10-21,18.338836
2022-10-22,18.338836
2022-10-23,18.333192
2022-10-24,18.384104
2022-10-25,18.543654
2022-10-26,18.774605
2022-10-27,18.553322
2022-10-28,18.517858
2022-10-29,18.517858
2022-10-30,18.51143
2022-10-31,18.412412
2022-11-01,18.36076
2022-11-02,18.283667
2022-11-03,18.161976
2022-11-04,18.536445
2022-11-05,18.537909
2022-11-06,18.474631
2022-11-07,18.504776
2022-11-08,18.692514
2022-11-09,18.644813
2022-11-10,18.862476
2022-11-11,19.265048
2022-11-12,19.271195
2022-11-13,19.164677
2022-11-14,19.189138
2022-11-15,19.277826
2022-11-16,19.352447
2022-11-17,19.276466
2022-11-18,19.264665
2022-11-19,19.264665
2022-11-20,19.230975
2022-11-21,19.062117
2022-11-22,19.19184
2022-11-23,19.388168
2022-11-24,19.391979
2022-11-25,19.362589
2022-11-26,19.362589
2022-11-27,19.304261
2022-11-28,19.261498
2022-11-29,19.245256
2022-11-30,19.421744
2022-12-01,19.621998
2022-12-02,19.634261
2022-12-03,19.653858
2022-12-04,19.644424
2022-12-05,19.554727
2022-12-06,19.501169
2022-12-07,19.597167
2022-12-08,19.692732
2022-12-09,19.672
2022-12-10,19.673887
2022-12-11,19.618894
2022-12-12,19.631155
2022-12-13,19.801609
2022-12-14,19.893018
2022-12-15,19.841051
2022-12-16,19.752446
2022-12-17,19.756527
2022-12-18,19.734066
2022-12-19,19.794356
2022-12-20,19.824031
2022-12-21,19.79505
2022-12-22,19.803011
2022-12-23,19.907873
2022-12-24,19.912121
2022-12-25,19.901387
2022-12-26,19.855934
2022-12-27,19.850483
2022-12-28,19.886824
2022-12-29,19.951368
2022-12-30,20.04376
2022-12-31,20.04376
2023-01-01,20.00813
2023-01-02,20.015048
2023-01-03,19.776412
2023-01-04,19.887434
2023-01-05,19.751327
2023-01-06,19.999355
2023-01-07,19.999355
2023-01-08,20.007616
2023-01-09,20.145224
2023-01-10,20.169166
2023-01-11,20.214368
2023-01-12,20.397258
2023-01-13,20.395395
2023-01-14,20.397565
2023-01-15,20.337663
2023-01-16,20.346799
2023-01-17,20.256086
2023-01-18,20.28057
2023-01-19,20.366621
2023-01-20,20.402241
2023-01-21,20.403432
2023-01-22,20.433554
2023-01-23,20.437392
2023-01-24,20.478415
2023-01-25,20.54253
2023-01-26,20.496428
2023-01-27,20.452329
2023-01-28,20.452329
2023-01-29,20.451374
2023-01-30,20.41107
2023-01-31,20.431969
2023-02-01,20.721983
2023-02-02,20.519661
2023-02-03,20.377776
2023-02-04,20.381783
2023-02-05,20.326082
2023-02-06,20.209438
2023-02-07,20.210508
2023-02-08,20.186364
2023-02-09,20.229526
2023-02-10,20.130846
2023-02-11,20.144679
2023-02-12,20.112758
2023-02-13,20.225482
2023-02-14,20.232522
2023-02-15,20.16137
2023-02-16,20.119218
2023-02-17,20.184269
2023-02-18,20.186129
2023-02-19,20.154265
2023-02-20,20.1601
2023-02-21,20.097242
2023-02-22,20.023506
2023-02-23,20.002551
2023-02-24,19.978191
2023-02-25,19.977055
2023-02-26,19.934607
2023-02-27,20.042024
2023-02-28,19.976846
2023-03-01,20.152355
2023-03-02,20.023005
2023-03-03,20.037377
2023-03-04,20.039294
2023-03-05,20.088852
2023-03-06,20.204437
2023-03-07,19.960675
2023-03-08,19.990085
2023-03-09,20.064667
2023-03-10,20.222233
2023-03-11,20.204008
2023-03-12,20.268501
2023-03-13,20.348501
2023-03-14,20.369126
2023-03-15,20.099247
2023-03-16,20.173621
2023-03-17,20.443627
2023-03-18,20.451476
2023-03-19,20.309002
2023-03-20,20.383998
2023-03-21,20.511551
2023-03-22,20.706238
2023-03-23,20.654653
2023-03-24,20.51957
2023-03-25,20.521783
2023-03-26,20.567165
2023-03-27,20.636548
2023-03-28,20.729844
2023-03-29,20.766814
2023-03-30,20.915415
2023-03-31,20.848047
2023-04-01,20.848047
2023-04-02,20.745917
2023-04-03,20.95882
2023-04-04,21.064062
2023-04-05,20.995874
2023-04-06,21.028099
2023-04-07,21.168371
2023-04-08,21.166062
2023-04-09,21.016715
2023-04-10,20.944943
2023-04-11,21.067906
2023-04-12,21.247061
2023-04-13,21.372616999999998
2023-04-14,21.505125
2023-04-15,21.49602
2023-04-16,21.292139
2023-04-17,21.183939
2023-04-18,21.301061
2023-04-19,21.250047
2023-04-20,21.286626
2023-04-21,21.530924
2023-04-22,21.530924
2023-04-23,21.33538
2023-04-24,21.460389
2023-04-25,21.334325
2023-04-26,21.460585
2023-04-27,21.445936
2023-04-28,21.64161
2023-04-29,21.6425
2023-04-30,21.420462
2023-05-01,21.348338
2023-05-02,21.449473
2023-05-03,21.560607
2023-05-04,21.485388
2023-05-05,21.878726
2023-05-06,21.878726
2023-05-07,21.489174
2023-05-08,21.449362999999998
2023-05-09,21.407831
2023-05-10,21.467317
2023-05-11,21.355251
2023-05-12,21.429183
2023-05-13,21.418024
2023-05-14,21.306392
2023-05-15,21.403855
2023-05-16,21.444109
2023-05-17,21.432639
2023-05-18,21.349751
2023-05-19,21.442018
2023-05-20,21.442018
2023-05-21,21.450957
2023-05-22,21.475417
2023-05-23,21.400969
2023-05-24,21.416619
2023-05-25,21.426096
2023-05-26,21.433594
2023-05-27,21.433594
2023-05-28,21.439154
2023-05-29,21.572675
2023-05-30,22.124371
2023-05-31,22.233228
2023-06-01,22.484156
2023-06-02,22.481787
2023-06-03,22.481787
